stop_id,agency,name,lat,lon,coord_source,stop_type,interchange_group_id,route_codes,sources,scraped_at
municipal_bus-5661,municipal_bus,Swasar Pravesh - 1,22.905828,72.63558,municipal_bus_api,MUNICIPAL_BUS,,"[""14-D"",""14-DL-D"",""15-D"",""Feeder/4-D""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-9079,municipal_bus,Swastic Platinum,22.94697,72.59413,municipal_bus_api,MUNICIPAL_BUS,,"[""30-U""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-3705,municipal_bus,Swastik Char Rasta,23.037368,72.561583,municipal_bus_api,MUNICIPAL_BUS,ix-0502,"[""204-U""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-2702,municipal_bus,Swastik Industries,23.007751,72.627785,municipal_bus_api,MUNICIPAL_BUS,ix-0501,"[""142-U"",""200-U"",""142sh-VSa-U"",""142sh-U"",""200-VM-U"",""142sh-VaS-U""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-1109,municipal_bus,Swastik Society,23.036845,72.560678,municipal_bus_api,MUNICIPAL_BUS,ix-0502,"[""144-D"",""51sh-D"",""51sh-SL-D"",""60sh-AL-D"",""56-D"",""51Ri-T-D"",""51T-D"",""40/3-U"",""46-U"",""50-II-U"",""50-GI-U"",""50-GN-U"",""50-IN-U"",""50-IsM-U"",""50-U"",""51Ri-D"",""56/1-D"",""65/1-D"",""103-GS-U"",""103-U"",""500-D""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-4201,municipal_bus,Swati Society,23.045125,72.556703,municipal_bus_api,MUNICIPAL_BUS,,"[""66-U""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-4149,municipal_bus,Swati Switch Gears,22.917125,72.436893,municipal_bus_api,MUNICIPAL_BUS,,"[""35-U"",""40/2-NM-U"",""40/2-U""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-4221,municipal_bus,Swminarayan Museum,23.055125,72.551511,municipal_bus_api,MUNICIPAL_BUS,,[],"[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-5771,municipal_bus,Swvyambhu Hospital,22.999781,72.666291,municipal_bus_api,MUNICIPAL_BUS,,"[""SP1-AN-U"",""SP1-U""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-5651,municipal_bus,Systronics,23.090482,72.670989,municipal_bus_api,MUNICIPAL_BUS,,[],"[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-4287,municipal_bus,Taanki,23.077076,72.619321,municipal_bus_api,MUNICIPAL_BUS,,[],"[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-3929,municipal_bus,Taanki (Sadhu Vaswani School),23.081041,72.627798,municipal_bus_api,MUNICIPAL_BUS,,"[""16-SM-D"",""16-SC-U"",""16-U""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-2027,municipal_bus,Tagor Park,23.021538,72.543083,municipal_bus_api,MUNICIPAL_BUS,ix-0147,"[""40/3-U"",""200-U"",""160-U"",""200-MV-D"",""200-MC-U""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
