agency,from_stop_id,to_stop_id,median_minutes,sample_count
brt,brt-71,brt-69,2.1,6
brt,brt-37,brt-275,2.2,3
brt,brt-81,brt-77,4.2,1
brt,brt-356,brt-354,1.4,2
brt,brt-354,brt-352,2.2,2
brt,brt-352,brt-370,2.8,2
brt,brt-370,brt-372,2.2,2
brt,brt-372,brt-303,2.3,2
brt,brt-339,brt-801,3.5,2
brt,brt-801,brt-279,4.4,2
brt,brt-279,brt-307,2.5,2
brt,brt-307,brt-169,5.1,2
brt,brt-169,brt-167,1.5,4
brt,brt-167,brt-165,1.6,4
brt,brt-165,brt-163,1.9,4
brt,brt-163,brt-161,1.8,4
brt,brt-161,brt-13,2.3,3
brt,brt-47,brt-259,1.5,2
brt,brt-281,brt-133,1.3,2
brt,brt-133,brt-131,1.6,2
brt,brt-131,brt-129,1.7,2
brt,brt-129,brt-127,4.4,2
brt,brt-127,brt-125,2.0,2
brt,brt-125,brt-123,1.9,2
brt,brt-123,brt-3,1.7,1
brt,brt-183,brt-266,3.7,1
brt,brt-266,brt-219,3.3,1
brt,brt-145,brt-101,2.4,1
brt,brt-161,brt-15,1.8,1
brt,brt-193,brt-255,2.4,2
brt,brt-101,brt-145,2.4,1
brt,brt-259,brt-47,1.5,4
brt,brt-219,brt-266,3.3,1
brt,brt-266,brt-183,3.7,1
brt,brt-3,brt-123,1.7,2
brt,brt-123,brt-125,1.9,3
brt,brt-125,brt-127,2.0,3
brt,brt-127,brt-129,4.4,3
brt,brt-129,brt-131,1.7,3
brt,brt-131,brt-133,1.6,2
brt,brt-133,brt-281,1.3,2
brt,brt-271,brt-313,3.4,1
brt,brt-313,brt-261,1.7,1
brt,brt-261,brt-237,3.0,1
brt,brt-237,brt-239,1.7,1
brt,brt-239,brt-241,1.9,1
brt,brt-241,brt-243,2.7,1
brt,brt-243,brt-245,1.6,1
brt,brt-245,brt-247,1.7,1
brt,brt-247,brt-249,1.7,1
brt,brt-249,brt-283,4.5,1
brt,brt-283,brt-311,1.9,1
brt,brt-311,brt-281,1.6,1
brt,brt-123,brt-5,1.5,1
brt,brt-13,brt-161,2.3,3
brt,brt-161,brt-163,1.8,5
brt,brt-163,brt-165,1.9,5
brt,brt-165,brt-167,1.6,5
brt,brt-167,brt-169,1.5,5
brt,brt-169,brt-335,3.0,5
brt,brt-335,brt-325,2.5,2
brt,brt-325,brt-420,2.0,2
brt,brt-420,brt-327,2.0,2
brt,brt-327,brt-329,2.7,2
brt,brt-329,brt-331,1.9,2
brt,brt-145,brt-105,2.8,1
brt,brt-331,brt-329,1.9,2
brt,brt-329,brt-327,2.7,2
brt,brt-327,brt-420,2.0,2
brt,brt-420,brt-325,2.0,2
brt,brt-325,brt-171,2.5,2
brt,brt-171,brt-169,3.0,2
brt,brt-97,brt-93,2.9,1
brt,brt-87,brt-83,6.0,1
brt,brt-5,brt-123,1.5,1
brt,brt-281,brt-311,1.6,2
brt,brt-311,brt-283,1.9,2
brt,brt-283,brt-249,4.5,1
brt,brt-249,brt-247,1.7,1
brt,brt-247,brt-245,1.7,1
brt,brt-245,brt-243,1.6,1
brt,brt-243,brt-241,2.7,1
brt,brt-241,brt-239,1.9,1
brt,brt-239,brt-237,1.7,1
brt,brt-237,brt-261,3.0,1
brt,brt-261,brt-313,1.7,1
brt,brt-313,brt-271,3.4,1
brt,brt-15,brt-161,1.8,2
brt,brt-335,brt-308,3.6,3
brt,brt-308,brt-320,2.6,3
brt,brt-320,brt-338,4.4,3
brt,brt-338,brt-339,3.5,3
brt,brt-61,brt-65,4.0,1
brt,brt-255,brt-195,1.7,2
brt,brt-37,brt-274,2.2,2
brt,brt-274,brt-374,2.5,2
brt,brt-374,brt-376,2.6,2
brt,brt-376,brt-378,1.9,2
brt,brt-378,brt-380,4.0,2
brt,brt-380,brt-382,2.3,2
brt,brt-382,brt-384,3.1,2
brt,brt-384,brt-349,2.8,2
brt,brt-131,brt-281,2.3,1
brt,brt-283,brt-285,2.8,1
brt,brt-285,brt-203,1.9,1
brt,brt-203,brt-201,2.1,1
brt,brt-19,brt-25,6.0,1
brt,brt-143,brt-342,2.9,3
brt,brt-342,brt-344,2.8,3
brt,brt-344,brt-346,4.4,3
brt,brt-346,brt-348,4.3,3
brt,brt-349,brt-347,4.3,3
brt,brt-347,brt-345,4.4,3
brt,brt-345,brt-342,2.8,3
brt,brt-342,brt-143,2.9,3
brt,brt-348,brt-384,2.7,1
brt,brt-384,brt-383,3.1,1
brt,brt-383,brt-381,2.2,1
brt,brt-381,brt-379,4.0,1
brt,brt-379,brt-376,1.9,1
brt,brt-376,brt-374,2.6,1
brt,brt-374,brt-275,2.5,1
brt,brt-186,brt-404,4.4,2
brt,brt-404,brt-406,3.0,1
brt,brt-406,brt-386,2.5,1
brt,brt-386,brt-1001,6.4,2
brt,brt-404,brt-386,4.9,1
brt,brt-1002,brt-388,3.3,1
brt,brt-388,brt-386,6.8,1
brt,brt-386,brt-406,2.5,1
