id,name
46011175,GH-6 stop
45272896,Gandhinagar Gsrtc Bus Station
46011176,GH-6 stop
45272859,Government Polytechnic Gandhinagar stop
45272864,Gandhinagar Railway Station
45272865,Gandhinagar Railway Station
45272888,Gujarat Technological University Gandhinagar Campus stop
45272887,Gujarat Technological University Gandhinagar Campus stop
45272874,Harinagar Vavol stop
45272875,Harinagar Vavol stop
46011185,Hemchandracharya Circle stop
1150628906,Infocity station
457853,Infocity Metro Station
46011184,Hemchandra Charya Circle stop
33481704,Jayprakash Vidyalaya stop
457854,Infocity Metro Station
45272867,"K Road, 195 stop"
33481705,Jayprakash Vidyalaya stop
33481645,Juna Sachivalaya Gandhinagar stop
33481671,Juna Sachivalaya Gandhinagar stop
33481712,K-7 stop
33481713,K-7 stop
458028,A.T.S Savvy stop
33481703,Kh-6 stop
45160742,Aavkar Apartment stop
33481702,Kh-6 stop
33481744,Adalaj S.T Stand
33483562,Adalaj-Mehsana Cross Road stop
458029,A.T.S Savvy stop
33481745,Adalaj S.T Stand
45160743,Aavkar Apartment stop
477170,Adharshila School stop
477169,Adharshila School stop
33483565,Adalaj-Mehsana Cross Road stop
106244545,Agora Mall stop
106244544,Agora Mall stop
33483559,Akash Darshan Society stop
33483568,Akash Darshan Society stop
106244540,Akshar Aford stop
106244541,Akshar Aford stop
33481659,Alampur Vtcos Bus Stand (Down)
45352583,Akshar Residency stop
45352584,Akshar Residency stop
45352573,Amardeep Apartment stop
33481657,Alampur Vtcos Bus Stand (Up)
45352574,Amardeep Apartment stop
45272882,Amba Township Chowkdi stop
466974,Amba Farm stop
45272883,Amba Township Chowkdi stop
39830175,Amba Township Sector-3c stop
39830172,Amba Township stop
466975,Amba Farm stop
39830176,Amba Township Sector-3c stop
39830174,Amba Township Sector-5 (Trimandir) stop
45394299,Amba Township Sector-5 (Trimandir) stop
39830173,Amba Township stop
33481754,Ambapur Bus Stand
457885,Amiyapur stop
39862188,Apollo Hospital stop
33481755,Ambapur Bus Stand
457886,Amiyapur stop
477107,Ayodhyanagar stop
45380857,Aakash Metro City stop
477108,Ayodhyanagar stop
45160755,Ashray Sarin stop
33483710,Balbindar Auto stop
33481656,B.S.F. Bus Stop
33481660,B.S.F. Bus Stop
457919,Bhartiya Udhyamita Vikash Sansthan stop
33483711,Balbindar Auto stop
33483793,Bhat Gam stop
33483795,Bhat Gam stop
106244548,Bhat Toll Tax stop
458026,Brigade Tower stop
457920,Bhartiya Udhyamita Vikash Sansthan stop
33481655,C.R.P.F. Bus Stop
106244549,Bhat Toll Tax stop
458027,Brigade Tower stop
33481750,Central Ware Housing Corporation stop
33481661,C.R.P.F. Bus Stop
33481751,Central Ware Housing Corporation stop
45183991,Chandkheda (Sarathi Bunglows) stop
45183992,Chandkheda (Sarathi Bunglows) stop
45160753,Chandkheda Fire Station
45160752,Chandkheda Fire Station
33481574,Chandkheda Gam BRTS stop
33481767,Chandkheda Gam stop
33481926,Chiloda Octroi Naka stop
33483567,Chandkheda Gam stop
33482297,Chandkheda stop
33481854,Chandkheda stop
33482277,Chiloda Octroi Naka stop
33481658,Chiloda stop
457863,City Pulse - Randesan stop
457864,City Pulse - Randesan stop
33481573,DCIS Circle (Zundal Circle) BRTS stop
33483817,Dabhoda Gam stop
45394301,Dabhoda Gam stop
45136015,Dabhoda Highway Cross stop
45136014,Dabhoda Highway Cross stop
39830168,Dadanagar Hall stop
39830169,Dadanagar Hall stop
466976,Dantali Cross Road stop
466977,Dantali Cross Road stop
458009,Data Center stop
46434929,Dev Residency stop
458010,Data Center stop
46434930,Dev Residency stop
39830132,Dev Tranquil stop
39830133,Dev Tranquil stop
33483708,Devdarshan Farm stop
45185248,Dewangi Bungalows stop
45185249,Dewangi Bungalows stop
33483709,Devdarshan Farm stop
45327790,Dharti Nagar stop
457859,Dholeshwar Mahadev Cross Road stop
45327791,Dharti Nagar stop
457860,Dholeshwar Mahadev Cross Road stop
458013,E.P.S Building stop
39830148,Fire Station Cross Road
39830149,Fire Station Cross Road
45160733,Fire Station Cross Road
457990,G.I.F.T City Metro Station
457991,G.I.F.T City Metro Station
45160734,Fire Station Cross Road
458018,G.I.F.T Tower 1 stop
1150612467,G.I.F.T City station
458019,G.I.F.T Tower 1 stop
458021,G.I.F.T Tower 2 stop
458020,G.I.F.T Tower 2 stop
457986,G.N.L.U Metro Station
1150612469,G.N.L.U station
457871,Gandhinagar Kelvani Mandal stop
457987,G.N.L.U Metro Station
457872,Gandhinagar Kelvani Mandal stop
477134,Gift City Road stop
477135,Gift City Road stop
45352591,Global Life Style stop
33481762,Gokul Dham stop
33482476,Government Engineering College stop
45352592,Global Life Style stop
33482430,Government Engineering College stop
33481763,Gokul Dham stop
46434927,Green Aura stop
477121,Hiraba Farm stop
33483014,Gujarat Housing Board stop
