route_name,longName,agencyName,transitType,firstStop,lastStop,totalStops,totalDurationMinutes,operatingDays
39/3-SH,,AMTS 39/3-SH Bus,,Kalupur Terminus,But Bhavani Mata Mandir,34,32,everyday
40,,AMTS 40 Bus,,Vaishali Township,Lapkaman Gam,70,71,everyday
40,,AMTS 40 Bus,,Paldi,Vasna,11,6,everyday
40,,AMTS 40 Bus,,Vaishali Township,Vasna,7,5,everyday
40,,AMTS 40 Bus,,Vasna,Lapkaman Gam,64,63,everyday
40/1,,AMTS 40/1 Bus,,Vinobabhavenagar,Iskcon Mandir,88,93,everyday
40/1,,AMTS 40/1 Bus,,Maninagar,Iskcon Mandir,53,51,everyday
40/1,,AMTS 40/1 Bus,,Vinobabhavenagar,Maninagar,36,41,everyday
42,,AMTS 42 Bus,,Maninagar Terminal,Ghodasar Gam,10,5,everyday
40/3,,AMTS 40/3 Bus,,Gayatri Vidyalaya,But Bhavani Mata Mandir,47,46,everyday
42,,AMTS 42 Bus,,Parijat Bungalows,Ghodasar Gam,69,52,everyday
42,,AMTS 42 Bus,,Parijat Bungalows,Maninagar,60,41,everyday
43,,AMTS 43 Bus,,Parijat Bungalows,Lal Darwaja,37,28,everyday
43/1,,AMTS 43/1 Bus,,Prahlad Nagar,Lal Darwaja,41,40,everyday
44/4,,AMTS 44/4 Bus,,Lal Darwaja,Arohi Homes (South Bopal),55,52,everyday
45,,AMTS 45 Bus,,Lal Darwaja,Jodhpur Gam,27,23,everyday
45/1,,AMTS 45/1 Bus,,Mumatpura Gam,Lal Darwaja,36,35,everyday
46,,AMTS 46 Bus,,Kalupur,Kalupur Terminus,50,45,everyday
47,Kalupur Terminus To Kalupur Terminus,AMTS 47 Bus,bus,Kalupur Terminus,Kalupur Terminus,49,46,everyday
49,,AMTS 49 Bus,,Ghuma Gam,Adinathnagar,70,74,everyday
49-SH,,AMTS 49-SH Bus,,Sarangpur,Ghuma Gam,50,54,everyday
49/1,,AMTS 49/1 Bus,,Sarangpur Terminus,Jodhpur Gam,38,34,everyday
50,,AMTS 50 Bus,,Meghaninagar,Ghuma Gam,72,70,everyday
49/2,,AMTS 49/2 Bus,,Nirant Chokdi,Gujarat University,61,55,everyday
50,,AMTS 50 Bus,,Meghaninagar,Ghuma Gam,72,68,everyday
51,,AMTS 51 Bus,,Thol Village,Lal Darwaja,74,79,everyday
51R,,AMTS 51R Bus,,Rancharda Gam,Lal Darwaja,57,52,everyday
